"Variable","N","Media","Mediana","Desv_Est","Minimo","Maximo","Coef_Variacion"
"Y1_ILA",163,1.487,1.452,0.199,1.044,2.333,0.134
"Y2_TD",163,1.914,2,0.892,0,3,0.466
"Y3_PR",163,2.35,2,0.527,1,3,0.224
"X1_NVC",163,3.957,4,0.688,1,5,0.174
"X2_TR",163,1.957,2,0.203,1,2,0.104
"X4_IDD",163,2.907,2.997,0.66,1,4,0.227
"X5_ED",163,0.647,0.8,0.327,0,1,0.505
"X6_CDD",163,1.963,1.771,0.228,1.701,2.277,0.116
"X10_IE",163,0.355,0.3,0.157,0.3,0.8,0.443
"X11_RED",163,12.423,11.667,5.355,2,31,0.431
"X12_TOE",163,2.509,3,1.146,1,4,0.457
"X13_TMATRC",163,0.103,-0.2,4.209,-12.75,19.6,40.713
"X14_NIVEL_EDUCATIVO",163,3.448,4,1.061,1,5,0.308
"X20_DIRECTIVOS_TOTAL",163,0.601,1,0.488,0,1,0.812
"X21_MULTIPLICIDAD1",163,1.136,1,0.374,1,3,0.329
"X22_MULTIPLICIDAD2",163,1.136,1,0.374,1,3,0.329
"X24_GPMD",163,11.27,10,3.83,5,22,0.34
"X25_POBLACION_DISTRITO",163,81559.865,124028,66598.029,1519,172052,0.817
"LATITUD",163,-7.922,-8.416,3.781,-13.73,-3.906,-0.477
"LONGITUD",163,-75.324,-74.336,3.087,-80.276,-71.159,-0.041
"ALTITUD_MSNM",163,1375.945,151,1633.855,78,4403,1.187
