Variable;Emergentes Complejas;Rurales Resilientes;Tradicionales Estables;√âlite Institucional
√çndice de Logro Acad√©mico;Medio;Bajo;Medio;Alto
Tendencia de Desempe√±o;Medio;Alto;Medio;Bajo
Nivel de Vulnerabilidad Contextual;Medio;Alto;Medio;Bajo
Tipo de Ruralidad;Medio;Medio;Medio;Bajo
√çndice de Desempe√±o Docente;Medio;Alto;Medio;Bajo
Ratio Estudiante-Docente;Alto;Bajo;Bajo;Alto
Tipo de Organizaci√≥n Escolar;Alto;Medio;Bajo;Alto
Tendencia de Matr√≠cula;Medio;Bajo;Bajo;Alto
Nivel Educativo;Bajo;Alto;Bajo;Alto
Altitud Geogr√°fica;Bajo;Alto;Bajo;Medio
;;;;
;;;;
Indicador / Variable;TIPOLOGÕAS IDENTIFICADAS;;;
;1;2;3;4
;Tradicionales Estables;…lite Institucional;Rurales Resilientes;Emergentes Complejas
Cantidad de IIEE seg˙n tipo;77;29;7;50
Õndice de Logro AcadÈmico;Medio;Alto;Bajo;Medio
Tendencia de DesempeÒo;Medio;Bajo;Alto;Medio
Nivel de Vulnerabilidad Contextual;Medio;Bajo;Alto;Medio
Tipo de Ruralidad;Medio;Bajo;Medio;Medio
Õndice de DesempeÒo Docente;Medio;Bajo;Alto;Medio
Ratio Estudiante-Docente;Bajo;Alto;Bajo;Alto
Tipo de OrganizaciÛn Escolar;Bajo;Alto;Medio;Alto
Tendencia de MatrÌcula;Bajo;Alto;Bajo;Medio
Nivel Educativo;Bajo;Alto;Alto;Bajo
Altitud Geogr·fica;Bajo;Medio;Alto;Bajo
