"Codigo","Nombre_Descriptivo","Escala"
"Y1_ILA","Índice de Logro Académico","1.0 - 4.0"
"Y2_TD","Tendencia de Desempeño","Variable continua"
"X1_NVC","Nivel de Vulnerabilidad Contextual","1-5 (quintil invertido)"
"X2_TR","Tipo de Ruralidad","1-4 (ordinal)"
"X4_IDD","Índice de Desempeño Docente","1.0 - 4.0"
"X11_RED","Ratio Estudiante-Docente","2.0 - 45.0"
"X12_TOE","Tipo de Organización Escolar","1-4 (categórica)"
"X13_TMATRC","Tendencia de Matrícula","Variable continua"
"X14_NIVEL_EDUCATIVO","Nivel Educativo","1-9 (ordinal)"
"ALTITUD_MSNM","Altitud Geográfica","Metros s.n.m."
