id,codigo_modular,codigo_local,numero_procedimiento,nombre_institucion,region,provincia,distrito,departamento,direccion,localidad,centro_poblado,area_censo,latitud,longitud,altitud,nivel_educativo,modalidad,modalidad_especifica,gestion,gestion_departamental,tipo_sexo,turno,codigo_carrera,total_alumnos,alumnos_hombres,alumnos_mujeres,total_docentes,total_secciones,directivos_hombres,directivos_mujeres,directivos_total,docentes_hombres,docentes_mujeres,docentes_total,es_rural,es_eib,director,telefono,email,numero_fya,unidad_ejecutora,multiplicidad1,multiplicidad2,id_red_fya,nombre_red_fya_matched,entra_estudio_clustering,ILA_2022,ILA_2023,ILA_2024,X11_RED,matric_siagie_2019,matric_siagie_2020,matric_siagie_2021,matric_siagie_2022,matric_siagie_2023,matric_siagie_2024,total_docentes_ajustado,X11_RED_ajustado,metodo_ajuste,TEND_MATRICULA,TEND_MATRICULA_CATEGORIA,TEND_MATRICULA_R2,TEND_CAMBIO_PORCENTUAL,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,Y3_PR_Comunicacion,Y3_PR_Matematica,Y3_PR_Produccion_Textos
1.0,3916573,9,2A,VIRGEN DE LAS MERCEDES,DRE PIURA,PIURA,TAMBO GRANDE,PIURA,SESTEADERO,nan,SESTEADERO TUNAL,Rural,-4.880568,-80.14513,190.0,Inicial - Programa no escolarizado,No escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,9,5,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,nan,nan,nan,48,UGEL TAMBOGRANDE,1.0,1.0,43,Red Fe y Alegría 48,Sí,1.3387,1.6819,1.6679,9.0,10.0,9.0,9.0,12.0,12.0,9.0,1.0,9.0,SIN_AJUSTE,0.013513513513513526,ESTABLE,0.0003974562798092216,-10.0,0.0,ESTABLE,1.0,13.216815980817294,,,
2.0,838455,99,2A,HUARAC HUARAN,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,HUARAC HURAN,nan,HUARAC HURAN,Rural,-9.234663,-77.96693,3591.0,Inicial - Programa no escolarizado,No escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,12,7,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,nan,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,12.0,18.0,9.0,8.0,9.0,11.0,10.0,1.0,12.0,SIN_AJUSTE,-1.1351351351351355,ESTABLE,0.2854830878782976,-44.44444444444444,0.0,ESTABLE,1.0,30.80766829923197,,,
3.0,3891735,999,2A,MARIA AUXILIADORA,DRE PIURA,PIURA,TAMBO GRANDE,PIURA,MIRAFLORES BAJO,MIRAFLORES BAJO,MIRAFLORES BAJO,Rural,-4.84999,-80.18052,168.0,Inicial - Programa no escolarizado,No escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,9,3,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,nan,nan,nan,48,UGEL TAMBOGRANDE,1.0,1.0,43,Red Fe y Alegría 48,Sí,1.3387,1.6819,1.6679,9.0,12.0,8.0,10.0,5.0,8.0,10.0,1.0,9.0,SIN_AJUSTE,-0.4054054054054055,ESTABLE,0.08687258687258691,-16.666666666666664,-0.4,ESTABLE,0.7071142312899612,24.816880071633783,,,
16.0,1315084,27453,3AS,86548 JOSE MARIA VELAZ,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,PICHIU,PICHIU,PICHIU,Rural,-9.2117,-77.9645,2956.0,Secundaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,145,71,74,13,6,0.0,1.0,1.0,7.0,5.0,12.0,1,1,HUAYANEY ROMERO BARTOLI WALTER,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.045,1.4127,1.2533,11.153846153846153,144.0,139.0,134.0,145.0,146.0,147.0,13.0,11.153846153846153,SIN_AJUSTE,1.162162162162162,ESTABLE,0.18040784466777246,2.083333333333333,1.0,ESTABLE,0.13285495573105388,3.2094556102952616,0.0,0.0,0.0
17.0,414987,27453,3AP,86548 JOSE MARIA VELAZ,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,PICHIU,PICHIU,PICHIU,Rural,-9.2117,-77.9645,2956.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,61,29,32,5,6,0.0,0.0,0.0,3.0,2.0,5.0,1,0,HUAYANEY ROMERO BARTOLI WALTER,nan,nan,54,UGEL HUAYLAS,2.0,2.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,12.2,79.0,83.0,77.0,64.0,66.0,59.0,5.0,12.2,SIN_AJUSTE,-4.891891891891893,ESTABLE,0.8290565846745626,-25.31645569620253,-5.5,ESTABLE,0.060289173990602185,12.292473306510193,,,
18.0,1376268,27453,1A,86548 JOSE MARIA VELAZ,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,PICHIU,PICHIU,PICHIU,Rural,-9.2117,-77.9645,2956.0,Inicial - Jardín,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,43,25,18,2,3,0.0,0.0,0.0,0.0,2.0,2.0,1,1,HUAYANEY ROMERO BARTOLI WALTER,nan,nan,54,UGEL HUAYLAS,3.0,3.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,21.5,35.0,32.0,33.0,30.0,32.0,41.0,2.0,21.5,SIN_AJUSTE,1.1351351351351353,ESTABLE,0.26935409986257447,17.142857142857142,0.0,ESTABLE,1.0,10.438236502668516,,,
19.0,415059,27504,3AP,86731,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARACHUCO,nan,CARACHUCO,Rural,-9.190619,-77.99803,2900.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Unidocente multigrado,7,5,2,1,3,0.0,1.0,1.0,0.0,0.0,0.0,1,0,LLIUYA HUARANGA MARÍA ROSANA,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,7.0,5.0,3.0,3.0,2.0,4.0,7.0,1.0,7.0,SIN_AJUSTE,0.4054054054054055,ESTABLE,0.15202702702702706,40.0,0.3333333333333333,ESTABLE,0.8509806870320558,40.8248290463863,,,
20.0,1633189,27556,3AS,86769 ABRAHAM VALDELOMAR,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA HUASCAR,nan,HUASCAR,Rural,-9.191896,-77.98308,3443.0,Secundaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,41,17,24,8,5,0.0,1.0,1.0,4.0,3.0,7.0,1,1,LIBERATO EVANGELISTA ROCIO NILDA,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.0392,1.5234,1.2564,5.125,55.0,59.0,60.0,58.0,45.0,41.0,8.0,5.125,SIN_AJUSTE,-2.878378378378379,ESTABLE,0.5000771570918392,-25.454545454545453,-2.8,ESTABLE,0.2596563563704499,13.822176714362207,0.0,0.0,0.0
21.0,415117,27556,3AP,86769 ABRAHAM VALDELOMAR,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA HUASCAR,nan,HUASCAR,Rural,-9.191896,-77.98308,3443.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,36,18,18,3,6,0.0,0.0,0.0,3.0,0.0,3.0,1,0,LIBERATO EVANGELISTA ROCIO NILDA,nan,nan,54,UGEL HUAYLAS,2.0,2.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,12.0,44.0,40.0,39.0,29.0,33.0,37.0,3.0,12.0,SIN_AJUSTE,-1.7432432432432432,ESTABLE,0.36625143058367815,-15.909090909090908,-2.3333333333333335,ESTABLE,0.13285495573105388,13.148215783176958,,,
22.0,1608132,27556,1A,86769 ABRAHAM VALDELOMAR,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA HUASCAR,nan,HUASCAR,Rural,-9.191896,-77.98308,3443.0,Inicial - Jardín,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,15,10,5,2,3,0.0,0.0,0.0,0.0,2.0,2.0,1,1,LIBERATO EVANGELISTA ROCIO NILDA,nan,nan,54,UGEL HUAYLAS,3.0,3.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,7.5,15.0,17.0,19.0,20.0,18.0,14.0,2.0,7.5,SIN_AJUSTE,-0.13513513513513514,ESTABLE,0.010395010395010396,-6.666666666666667,0.3333333333333333,ESTABLE,1.0,12.319007320824776,,,
