anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,departamen,provincia,distrito,centropobl,codigoloca,periodopro,codigomodu,anexo,nombre_ie,gestion,dsc_nivel,dsc_grado,dsc_seccio,turno,total,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,No Aplica,0415141,0,86783,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,7,415141,27561,7,CODIGO_MODULAR_NORMALIZADO,86783,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,No Aplica,0415141,0,86783,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,8,415141,27561,8,CODIGO_MODULAR_NORMALIZADO,86783,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,No Aplica,0686386,0,88327,P£blica,Primaria,SEGUNDO,A,Ma¤ana,6,686386,27716,6,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,No Aplica,1551944,0,87009-01,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICA,Ma¤ana,14,1551944,27603,14,CODIGO_MODULAR_EXACTO,87009-01,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,No Aplica,0818682,0,87009-01,P£blica,Primaria,TERCERO,éNICA,Ma¤ana,17,818682,27603,17,CODIGO_MODULAR_NORMALIZADO,87009-01,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARACHUCO,027504,No Aplica,0415059,0,86731,P£blica,Primaria,TERCERO,TERCERO,Ma¤ana,2,415059,27504,2,CODIGO_MODULAR_NORMALIZADO,86731,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,No Aplica,0541201,0,88247 SAN ENRIQUE,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,9,541201,27641,9,CODIGO_MODULAR_NORMALIZADO,88247 SAN ENRIQUE,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,862206,No Aplica,1678879,0,693,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,JESUS ES MI AMIGO,Ma¤ana,6,1678879,862206,6,CODIGO_MODULAR_EXACTO,693,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,No Aplica,1608132,0,86769 ABRAHAM VALDELOMAR,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,UNICA,Ma¤ana,8,1608132,27556,8,CODIGO_MODULAR_EXACTO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:53:38.929102
2023,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,No Aplica,1633189,0,86769 ABRAHAM VALDELOMAR,P£blica,Secundaria,SEGUNDO,UNICA,Ma¤ana,9,1633189,27556,9,CODIGO_MODULAR_EXACTO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:53:38.929102
