anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,departamento,provincia,distrito,centro_poblado,codigo_local,periodo_promocion,codigo_modular,anexo,nombre_ie,gestion,nivel,grado,seccion,turno,total_alumnos,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,,1678879,0,693,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,GOTITAS DE AMOR,Ma¤ana,2,1678879,862206,2,CODIGO_MODULAR,693,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,,1633189,0,86769 ABRAHAM VALDELOMAR,P£blica,Secundaria,SEGUNDO,UNICA,Ma¤ana,15,1633189,27556,15,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,,1376268,0,86548 JOSE MARIA VELAZ,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,ARCO IRIS,Ma¤ana,14,1376268,27453,14,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,,1633189,0,86769 ABRAHAM VALDELOMAR,P£blica,Secundaria,QUINTO,UNICA,Ma¤ana,8,1633189,27556,8,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,,1376300,0,86783,P£blica,Secundaria,TERCERO,UNICA,Ma¤ana,14,1376300,27561,14,CODIGO_MODULAR,86783,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,,1551944,0,87009-01,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,UNICA,Ma¤ana,2,1551944,27603,2,CODIGO_MODULAR,87009-01,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,,1608132,0,86769 ABRAHAM VALDELOMAR,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,6,1608132,27556,6,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,,1376318,0,88247 SAN ENRIQUE,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,7,1376318,27641,7,CODIGO_MODULAR,88247 SAN ENRIQUE,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,,1315084,0,86548 JOSE MARIA VELAZ,P£blica,Secundaria,CUARTO,A,Ma¤ana,21,1315084,27453,21,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,,1376300,0,86783,P£blica,Secundaria,CUARTO,UNICA,Ma¤ana,10,1376300,27561,10,CODIGO_MODULAR,86783,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,,1376318,0,88247 SAN ENRIQUE,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICA,Ma¤ana,4,1376318,27641,4,CODIGO_MODULAR,88247 SAN ENRIQUE,54,2025-08-09T17:44:27.531745
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,,1376300,0,86783,P£blica,Secundaria,SEGUNDO,UNICA,Ma¤ana,18,1376300,27561,18,CODIGO_MODULAR,86783,54,2025-08-09T17:44:27.531745
