año,codigo_modular,codigo_local,metodo_encontrado,nombre_siagie,nombre_fya,red_fya,nivel,grado,alumnos,departamento,provincia,distrito,turno,gestion
2023,1551944,027603,CODIGO_MODULAR,87009-01,87009-01,54,Inicial - Jard¡n,Grupo 3 a¤os,14,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1608132,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Inicial - Jard¡n,Grupo 5 a¤os,8,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,SEGUNDO,9,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1608132,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Inicial - Jard¡n,Grupo 4 a¤os,4,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,PRIMERO,4,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,CUARTO,29,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,PRIMERO,22,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,SEGUNDO,21,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376268,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Inicial - Jard¡n,Grupo 4 a¤os,14,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,TERCERO,16,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376318,027641,CODIGO_MODULAR,88247 SAN ENRIQUE,88247 SAN ENRIQUE,54,Inicial - Jard¡n,Grupo 3 a¤os,2,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,TERCERO,17,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,TERCERO,8,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,SEGUNDO,20,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,PRIMERO,26,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376318,027641,CODIGO_MODULAR,88247 SAN ENRIQUE,88247 SAN ENRIQUE,54,Inicial - Jard¡n,Grupo 4 a¤os,3,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,QUINTO,12,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,CUARTO,12,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376268,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Inicial - Jard¡n,Grupo 3 a¤os,12,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1608132,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Inicial - Jard¡n,Grupo 3 a¤os,6,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,QUINTO,17,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,CUARTO,12,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1551944,027603,CODIGO_MODULAR,87009-01,87009-01,54,Inicial - Jard¡n,Grupo 4 a¤os,15,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1376268,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Inicial - Jard¡n,Grupo 5 a¤os,6,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,TERCERO,28,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,SEGUNDO,20,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,QUINTO,22,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,1551944,027603,CODIGO_MODULAR,87009-01,87009-01,54,Inicial - Jard¡n,Grupo 5 a¤os,14,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana,P£blica
2023,0409797,168023,CODIGO_LOCAL,50504,50504,44,Primaria,PRIMERO,23,CUSCO,QUISPICANCHI,URCOS,Ma¤ana,P£blica
2023,0409797,168023,CODIGO_LOCAL,50504,50504,44,Primaria,SEXTO,17,CUSCO,QUISPICANCHI,URCOS,Ma¤ana,P£blica
2023,1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,PRIMERO,31,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,SEGUNDO,30,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,QUINTO,27,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,CUARTO,32,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0409706,168626,CODIGO_LOCAL,50495,50495,44,Primaria,SEGUNDO,9,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0519793,168730,CODIGO_LOCAL,50912,50912,44,Primaria,CUARTO,4,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0410100,168669,CODIGO_LOCAL,50535,50535,44,Primaria,SEXTO,21,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,PRIMERO,22,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410233,169517,CODIGO_LOCAL,50550,50550,44,Primaria,CUARTO,2,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409797,168023,CODIGO_LOCAL,50504,50504,44,Primaria,TERCERO,26,CUSCO,QUISPICANCHI,URCOS,Ma¤ana,P£blica
2023,0410118,168056,CODIGO_LOCAL,50536,50536,44,Primaria,CUARTO,12,CUSCO,QUISPICANCHI,URCOS,Ma¤ana,P£blica
2023,1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,CUARTO,24,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,CUARTO,33,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0409706,168626,CODIGO_LOCAL,50495,50495,44,Primaria,PRIMERO,4,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0519793,168730,CODIGO_LOCAL,50912,50912,44,Primaria,QUINTO,5,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0410100,168669,CODIGO_LOCAL,50535,50535,44,Primaria,TERCERO,16,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0204933,168706,CODIGO_LOCAL,50715,50715,44,Primaria,SEGUNDO,2,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0410100,168669,CODIGO_LOCAL,50535,50535,44,Primaria,QUINTO,22,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,1343755,169579,CODIGO_LOCAL,50719 VIRGEN DEL CARMEN,50719 VIRGEN DEL CARMEN,44,Inicial - Jard¡n,Grupo 4 a¤os,20,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410266,169541,CODIGO_LOCAL,50553,50553,44,Primaria,CUARTO,1,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0205401,169584,CODIGO_LOCAL,50765,50765,44,Primaria,PRIMERO,3,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0592543,169616,CODIGO_LOCAL,50977,50977,44,Primaria,QUINTO,13,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,PRIMERO,23,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,CUARTO,25,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,CUARTO,23,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,1062058,168508,CODIGO_MODULAR,501344,501344,44,Primaria,PRIMERO,2,CUSCO,QUISPICANCHI,CCARHUAYO,Ma¤ana,P£blica
