codigo_modular,Y1_ILA,Y2_TD,X1_NVC,X2_TR,X4_IDD,X10_IE,X12_TOE,X13_TMATRC,X15_MEIB,X11_RED,X13_TMATRC_CATEGORIA
3916573,,0.2459,,2.0,,,,0.0,,9.0,ESTABLE
838455,,0.1902,,3.0,,,,0.0,,12.0,ESTABLE
3891735,,0.2459,,2.0,,,,-0.4,,9.0,ESTABLE
1315084,1.1856356685416516,0.1993,,2.0,,,,1.0,,11.153846153846153,ESTABLE
414987,,0.1902,,2.0,,,,-5.5,,12.2,ESTABLE
1376268,,,,,,,,0.0,,21.5,ESTABLE
415059,,,,,,,,0.3333333333333333,,7.0,ESTABLE
1633189,,,,,,,,-2.8,,5.125,ESTABLE
415117,,,,,,,,-2.3333333333333335,,12.0,ESTABLE
1608132,,,,,,,,0.3333333333333333,,7.5,ESTABLE
415141,,,,,,,,-2.0,,15.25,ESTABLE
1376300,,,,,,,,6.6,,11.555555555555555,CRECIMIENTO_SIGNIFICATIVO
520221,,,,,,,,-2.0,,8.0,CAMBIO_LEVE_SIGNIFICATIVO
818682,,,,,,,,2.2,,18.25,ESTABLE
1551944,,,,,,,,2.0,,14.0,CAMBIO_LEVE_SIGNIFICATIVO
1376318,,,,,,,,-1.6666666666666667,,14.0,ESTABLE
541201,,,,,,,,-1.8,,14.5,ESTABLE
686386,,,,,,,,0.0,,13.5,ESTABLE
1306182,,,,,,,,-0.5,,5.0,ESTABLE
1200906,,,,,,,,0.0,,13.4,ESTABLE
409797,,,,,,,,-7.666666666666667,,14.666666666666666,DECRECIMIENTO_SIGNIFICATIVO
410118,,,,,,,,-3.0,,13.0,DECRECIMIENTO_SIGNIFICATIVO
933937,,,,,,,,,,19.0,
933960,,,,,,,,-9.0,,19.789473684210527,ESTABLE
410316,,,,,,,,-8.0,,10.0,ESTABLE
1062058,,,,,,,,-1.8,,7.5,CAMBIO_LEVE_SIGNIFICATIVO
409706,,,,,,,,-2.0,,15.666666666666666,CAMBIO_LEVE_SIGNIFICATIVO
410100,,,,,,,,-4.0,,13.428571428571429,ESTABLE
204933,,,,,,,,-2.0,,8.0,CAMBIO_LEVE_SIGNIFICATIVO
519793,,,,,,,,-0.8,,8.666666666666666,ESTABLE
592428,,,,,,,,-1.6666666666666667,,14.666666666666666,ESTABLE
205716,,,,,,,,-0.8,,15.5,ESTABLE
409672,,,,,,,,-3.5,,19.333333333333332,ESTABLE
410225,,,,,,,,-6.5,,13.666666666666666,DECRECIMIENTO_SIGNIFICATIVO
410233,,,,,,,,0.5,,9.333333333333334,ESTABLE
410258,,,,,,,,-4.666666666666667,,11.571428571428571,ESTABLE
410266,,,,,,,,-5.0,,6.0,DECRECIMIENTO_SIGNIFICATIVO
204974,,,,,,,,2.0,,19.933333333333334,ESTABLE
205401,,,,,,,,-2.3333333333333335,,9.0,DECRECIMIENTO_SIGNIFICATIVO
487140,,,,,,,,-5.5,,8.5,DECRECIMIENTO_SIGNIFICATIVO
592543,,,,,,,,-4.0,,17.0,DECRECIMIENTO_SIGNIFICATIVO
428714,,,,,,,,,,12.5,
600692,,,,,,,,,,7.571428571428571,
421594,,,,,,,,1.8,,11.0,ESTABLE
633040,,,,,,,,0.4,,9.0,ESTABLE
420380,,,,,,,,-2.0,,11.0,ESTABLE
420406,,,,,,,,0.6,,10.0,ESTABLE
1060276,,,,,,,,2.0,,6.333333333333333,CAMBIO_LEVE_SIGNIFICATIVO
420430,,,,,,,,-1.0,,12.75,ESTABLE
420448,,,,,,,,-2.25,,8.0,ESTABLE
420562,,,,,,,,-0.2,,8.0,ESTABLE
740365,,,,,,,,-2.25,,7.333333333333333,ESTABLE
686741,,,,,,,,-4.25,,9.0,ESTABLE
428771,,,,,,,,-0.3333333333333333,,12.333333333333334,ESTABLE
687194,,,,,,,,-0.25,,9.0,ESTABLE
579987,,,,,,,,-11.2,,4.842105263157895,DECRECIMIENTO_SIGNIFICATIVO
1320001,,,,,,,,-0.4,,9.0,ESTABLE
721639,,,,,,,,-0.25,,6.0,ESTABLE
721647,,,,,,,,0.0,,26.0,ESTABLE
738203,,,,,,,,-2.0,,6.5,CAMBIO_LEVE_SIGNIFICATIVO
1151331,,,,,,,,3.5,,17.666666666666668,ESTABLE
1151414,,,,,,,,-5.4,,17.5,ESTABLE
