rowid,codigo_modular,region,provincia,distrito,pobreza_monetaria_distrito,metodo_vinculacion
1,3916573,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
2,838455,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
3,3891735,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
16,1315084,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
17,414987,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
18,1376268,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
19,415059,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
20,1633189,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
21,415117,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
22,1608132,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
23,415141,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
24,1376300,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
25,520221,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
26,818682,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
27,1551944,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
28,1376318,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
29,541201,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
30,686386,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
55,1306182,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
69,1200906,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,,sin_vinculo
72,409797,DRE CUSCO,QUISPICANCHI,URCOS,,sin_vinculo
73,410118,DRE CUSCO,QUISPICANCHI,URCOS,,sin_vinculo
74,933937,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,,sin_vinculo
