CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,X2_TR,X10_IE,fuente,metodo,nivel_infraestructura,conectividad_digital,equipamiento_tecnologico,infraestructura_electrica,internet_operativo,equipos_total,tiene_electricidad
3916573,VIRGEN DE LAS MERCEDES,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
838455,HUARAC HUARAN,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
3891735,MARIA AUXILIADORA,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1315084,86548 JOSE MARIA VELAZ,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
414987,86548 JOSE MARIA VELAZ,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1376268,86548 JOSE MARIA VELAZ,54,2,0.871,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,1.0,0.85,1.0,95.0,1.0
415059,86731,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1633189,86769 ABRAHAM VALDELOMAR,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
415117,86769 ABRAHAM VALDELOMAR,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1608132,86769 ABRAHAM VALDELOMAR,54,2,0.781,conectividad_equipamiento,calculo_directo,Alta (0.6-0.8),0.802,0.7,0.85,1.0,35.0,1.0
415141,86783,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1376300,86783,54,2,0.5424,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9079,0.85,0.0,38.0,1.0
520221,86809,54,2,0.5622,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9741,0.85,0.0,27.0,1.0
818682,87009-01,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1551944,87009-01,54,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1376318,88247 SAN ENRIQUE,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
541201,88247 SAN ENRIQUE,54,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
686386,88327,54,2,0.549,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.93,0.85,0.0,20.0,1.0
1306182,852,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1200906,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,1,0.8156,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.8153,0.85,1.0,72.0,1.0
409797,50504,44,2,0.8074,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.7879,0.85,1.0,66.0,1.0
410118,50536,44,2,0.5175,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.825,0.85,0.0,24.0,1.0
933937,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
933960,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,1,0.5553,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9512,0.85,0.0,344.0,1.0
410316,50558,44,2,0.4,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.9,0.15,0.0,42.0,0.0
1062058,501344,44,2,0.486,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.72,0.85,0.0,20.0,1.0
409706,50495,44,2,0.5444,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9146,0.85,0.0,41.0,1.0
410100,50535,44,2,0.4749,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.683,0.85,0.0,106.0,1.0
204933,50715,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
519793,50912,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
592428,50976,44,2,0.788,conectividad_equipamiento,calculo_directo,Alta (0.6-0.8),0.802,0.7233,0.85,1.0,43.0,1.0
205716,50796,44,2,0.4505,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.6017,0.85,0.0,9.0,1.0
409672,50492 CORAZON DE JESUS,44,1,0.8269,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.8531,0.85,1.0,143.0,1.0
410225,50547,44,2,0.5382,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8939,0.85,0.0,33.0,1.0
410233,50550,44,2,0.4965,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.755,0.85,0.0,20.0,1.0
410258,50552 TUPAC AMARU II,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
410266,50553,44,2,0.5382,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8939,0.85,0.0,33.0,1.0
204974,50719 VIRGEN DEL CARMEN,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
