codigo_modular,nombre_institucion,total_alumnos,total_docentes,X11_RED
3916573,VIRGEN DE LAS MERCEDES,9,1,9.0
838455,HUARAC HUARAN,12,1,12.0
3891735,MARIA AUXILIADORA,9,1,9.0
1315084,86548 JOSE MARIA VELAZ,145,13,11.153846153846153
414987,86548 JOSE MARIA VELAZ,61,5,12.2
1376268,86548 JOSE MARIA VELAZ,43,2,21.5
415059,86731,7,1,7.0
1633189,86769 ABRAHAM VALDELOMAR,41,8,5.125
415117,86769 ABRAHAM VALDELOMAR,36,3,12.0
1608132,86769 ABRAHAM VALDELOMAR,15,2,7.5
415141,86783,61,4,15.25
1376300,86783,104,9,11.555555555555555
520221,86809,16,2,8.0
818682,87009-01,73,4,18.25
1551944,87009-01,42,3,14.0
1376318,88247 SAN ENRIQUE,14,1,14.0
541201,88247 SAN ENRIQUE,29,2,14.5
686386,88327,27,2,13.5
1306182,852,5,1,5.0
1200906,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,268,20,13.4
409797,50504,132,9,14.666666666666666
410118,50536,39,3,13.0
933937,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,152,8,19.0
933960,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,376,19,19.789473684210527
410316,50558,40,4,10.0
1062058,501344,15,2,7.5
409706,50495,47,3,15.666666666666666
410100,50535,94,7,13.428571428571429
204933,50715,8,1,8.0
519793,50912,26,3,8.666666666666666
592428,50976,44,3,14.666666666666666
205716,50796,31,2,15.5
409672,50492 CORAZON DE JESUS,406,21,19.333333333333332
410225,50547,41,3,13.666666666666666
410233,50550,28,3,9.333333333333334
410258,50552 TUPAC AMARU II,81,7,11.571428571428571
410266,50553,6,1,6.0
204974,50719 VIRGEN DEL CARMEN,299,15,19.933333333333334
205401,50765,18,2,9.0
487140,50854,17,2,8.5
592543,50977,51,3,17.0
428714,36153 SAYRI TUPAC,25,2,12.5
600692,NUESTRA SEÑORA DE LA CANDELARIA,265,35,7.571428571428571
421594,130,22,2,11.0
633040,156,18,2,9.0
