codigo_modular,nombre_institucion,X13_TMATRC,X13_TMATRC_MANN_KENDALL_S,X13_TMATRC_MANN_KENDALL_Z,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_CATEGORIA
3916573,VIRGEN DE LAS MERCEDES,0.0,1.0,0.0,1.0,ESTABLE
838455,HUARAC HUARAN,0.0,0.0,0.0,1.0,ESTABLE
3891735,MARIA AUXILIADORA,-0.4,-3.0,-0.3757345746510897,0.7071142312899614,ESTABLE
1315084,86548 JOSE MARIA VELAZ,1.0,9.0,1.502938298604359,0.13285495573105388,ESTABLE
414987,86548 JOSE MARIA VELAZ,-5.5,-11.0,-1.8786728732554487,0.060289173990602185,ESTABLE
1376268,86548 JOSE MARIA VELAZ,0.0,0.0,0.0,1.0,ESTABLE
415059,86731,0.3333333333333333,2.0,0.18786728732554486,0.8509806870320558,ESTABLE
1633189,86769 ABRAHAM VALDELOMAR,-2.8,-7.0,-1.1272037239532693,0.25965635637045015,ESTABLE
415117,86769 ABRAHAM VALDELOMAR,-2.3333333333333335,-9.0,-1.502938298604359,0.13285495573105388,ESTABLE
1608132,86769 ABRAHAM VALDELOMAR,0.3333333333333333,1.0,0.0,1.0,ESTABLE
415141,86783,-2.0,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
1376300,86783,6.6,12.0,2.0665401605809937,0.03877750439230665,CRECIMIENTO_SIGNIFICATIVO
520221,86809,-2.0,-15.0,-2.630142022557628,0.008534920414227098,CAMBIO_LEVE_SIGNIFICATIVO
818682,87009-01,2.2,9.0,1.502938298604359,0.13285495573105388,ESTABLE
1551944,87009-01,2.0,13.0,2.2544074479065386,0.024170547174545254,CAMBIO_LEVE_SIGNIFICATIVO
1376318,88247 SAN ENRIQUE,-1.6666666666666667,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
541201,88247 SAN ENRIQUE,-1.8,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
686386,88327,0.0,-5.0,-0.7514691493021795,0.4523703606773608,ESTABLE
1306182,852,-0.5,-2.0,-0.18786728732554486,0.8509806870320558,ESTABLE
1200906,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,0.0,0.0,0.0,1.0,ESTABLE
409797,50504,-7.666666666666667,-14.0,-2.442274735232083,0.014595034919316685,DECRECIMIENTO_SIGNIFICATIVO
