codigo_target,X15_MEIB,modalidad_original,metodo,fuente
1315084,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1376268,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1633189,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1608132,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1376300,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1551944,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1376318,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1200906,2,EIB de revitalización,directo_zfill,datos_eib_minedu
1062058,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
0428714,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
0600692,2,EIB de revitalización,directo_zfill,datos_eib_minedu
1060276,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1568799,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1343813,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1374834,2,EIB de revitalización,directo_zfill,datos_eib_minedu
1457605,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1772672,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1495167,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1402866,2,EIB de revitalización,directo_zfill,datos_eib_minedu
1625904,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1741123,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1636455,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1457365,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
1678879,1,EIB de fortalecimiento,directo_zfill,datos_eib_minedu
414987,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
415059,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
415117,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
415141,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
520221,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
818682,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
541201,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
686386,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
409797,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
410118,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
933937,2,EIB de revitalización,entero_matching,datos_eib_minedu
933960,2,EIB de revitalización,entero_matching,datos_eib_minedu
410316,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
409706,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
410100,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
204933,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
519793,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
592428,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
205716,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
409672,2,EIB de revitalización,entero_matching,datos_eib_minedu
410225,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
410233,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
410258,1,EIB de fortalecimiento,entero_matching,datos_eib_minedu
