codigo_target,X4_IDD,fuente,metodo,num_docentes
0428714,2.5,PADD_Normalizado,promedio_normalizado_1_4,2
0600692,2.9326923076923075,PADD_Normalizado,promedio_normalizado_1_4,13
1060276,3.25,PADD_Normalizado,promedio_normalizado_1_4,1
1147735,3.736111111111111,PADD_Normalizado,promedio_normalizado_1_4,9
1151331,3.875,PADD_Normalizado,promedio_normalizado_1_4,2
1152057,1.5,PADD_Normalizado,promedio_normalizado_1_4,1
1152321,1.5,PADD_Normalizado,promedio_normalizado_1_4,1
1153964,1.9583333333333333,PADD_Normalizado,promedio_normalizado_1_4,3
1154400,3.3125,PADD_Normalizado,promedio_normalizado_1_4,4
1210491,2.270833333333333,PADD_Normalizado,promedio_normalizado_1_4,2
1261577,3.375,PADD_Normalizado,promedio_normalizado_1_4,2
1374834,2.4375,PADD_Normalizado,promedio_normalizado_1_4,2
1376268,2.25,PADD_Normalizado,promedio_normalizado_1_4,2
1376318,3.75,PADD_Normalizado,promedio_normalizado_1_4,1
1457605,3.7083333333333335,PADD_Normalizado,promedio_normalizado_1_4,3
1527399,3.75,PADD_Normalizado,promedio_normalizado_1_4,1
1568799,3.125,PADD_Normalizado,promedio_normalizado_1_4,1
1625904,2.4166666666666665,PADD_Normalizado,promedio_normalizado_1_4,3
1625938,1.0,PADD_Normalizado,promedio_normalizado_1_4,1
1625987,1.5,PADD_Normalizado,promedio_normalizado_1_4,1
1626001,1.75,PADD_Normalizado,promedio_normalizado_1_4,1
1636455,3.6875,PADD_Normalizado,promedio_normalizado_1_4,2
1678879,3.875,PADD_Normalizado,promedio_normalizado_1_4,1
1741123,3.8125,PADD_Normalizado,promedio_normalizado_1_4,2
3916573,2.9975958842269375,Regresion_1_4,regresion_normalizada_r2_0.405,0
838455,3.3350700958378856,Regresion_1_4,regresion_normalizada_r2_0.405,0
3891735,2.9926264661964264,Regresion_1_4,regresion_normalizada_r2_0.405,0
1315084,3.330695688311148,Regresion_1_4,regresion_normalizada_r2_0.405,0
414987,3.330695688311148,Regresion_1_4,regresion_normalizada_r2_0.405,0
415059,3.3274719657452723,Regresion_1_4,regresion_normalizada_r2_0.405,0
1633189,3.327381068673751,Regresion_1_4,regresion_normalizada_r2_0.405,0
415117,3.327381068673751,Regresion_1_4,regresion_normalizada_r2_0.405,0
1608132,3.327381068673751,Regresion_1_4,regresion_normalizada_r2_0.405,0
415141,3.3285130918499624,Regresion_1_4,regresion_normalizada_r2_0.405,0
1376300,3.3285130918499624,Regresion_1_4,regresion_normalizada_r2_0.405,0
520221,3.335628044926194,Regresion_1_4,regresion_normalizada_r2_0.405,0
818682,3.3297185315556863,Regresion_1_4,regresion_normalizada_r2_0.405,0
1551944,3.3297185315556863,Regresion_1_4,regresion_normalizada_r2_0.405,0
541201,3.329532954620065,Regresion_1_4,regresion_normalizada_r2_0.405,0
686386,3.3297568599893514,Regresion_1_4,regresion_normalizada_r2_0.405,0
1306182,2.794728980334133,Regresion_1_4,regresion_normalizada_r2_0.405,0
1200906,3.4646803644178847,Regresion_1_4,regresion_normalizada_r2_0.405,0
409797,4.0,Regresion_1_4,regresion_normalizada_r2_0.405,0
410118,4.0,Regresion_1_4,regresion_normalizada_r2_0.405,0
933937,3.4648601470653313,Regresion_1_4,regresion_normalizada_r2_0.405,0
933960,3.4648601470653313,Regresion_1_4,regresion_normalizada_r2_0.405,0
410316,3.7634122902831195,Regresion_1_4,regresion_normalizada_r2_0.405,0
1062058,3.7709057269918262,Regresion_1_4,regresion_normalizada_r2_0.405,0
409706,3.7691482254293946,Regresion_1_4,regresion_normalizada_r2_0.405,0
410100,3.7817663636696737,Regresion_1_4,regresion_normalizada_r2_0.405,0
204933,3.7787725996557464,Regresion_1_4,regresion_normalizada_r2_0.405,0
519793,3.7847392635420762,Regresion_1_4,regresion_normalizada_r2_0.405,0
592428,3.7789991421949245,Regresion_1_4,regresion_normalizada_r2_0.405,0
205716,3.777858964724434,Regresion_1_4,regresion_normalizada_r2_0.405,0
409672,1.5376002704883094,Regresion_1_4,regresion_normalizada_r2_0.405,0
410225,3.801472645671235,Regresion_1_4,regresion_normalizada_r2_0.405,0
410233,3.7804010496947034,Regresion_1_4,regresion_normalizada_r2_0.405,0
410258,3.800531512591512,Regresion_1_4,regresion_normalizada_r2_0.405,0
410266,3.788699415305931,Regresion_1_4,regresion_normalizada_r2_0.405,0
204974,3.7884369083326837,Regresion_1_4,regresion_normalizada_r2_0.405,0
205401,3.796224680099076,Regresion_1_4,regresion_normalizada_r2_0.405,0
487140,3.792752755396319,Regresion_1_4,regresion_normalizada_r2_0.405,0
592543,3.7900190771393807,Regresion_1_4,regresion_normalizada_r2_0.405,0
428714,3.079975035319729,Regresion_1_4,regresion_normalizada_r2_0.405,0
600692,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
421594,3.0998916500444156,Regresion_1_4,regresion_normalizada_r2_0.405,0
633040,3.0928362054019636,Regresion_1_4,regresion_normalizada_r2_0.405,0
420380,3.100068700763088,Regresion_1_4,regresion_normalizada_r2_0.405,0
420406,3.0979108260032344,Regresion_1_4,regresion_normalizada_r2_0.405,0
420430,3.0933273224149898,Regresion_1_4,regresion_normalizada_r2_0.405,0
420448,3.084334444951763,Regresion_1_4,regresion_normalizada_r2_0.405,0
420562,3.0973687474805507,Regresion_1_4,regresion_normalizada_r2_0.405,0
740365,3.092896756265011,Regresion_1_4,regresion_normalizada_r2_0.405,0
686741,2.133196313090024,Regresion_1_4,regresion_normalizada_r2_0.405,0
428771,2.1331542519416877,Regresion_1_4,regresion_normalizada_r2_0.405,0
687194,2.134534996384056,Regresion_1_4,regresion_normalizada_r2_0.405,0
579987,2.1331653278492384,Regresion_1_4,regresion_normalizada_r2_0.405,0
1320001,2.7374066539554356,Regresion_1_4,regresion_normalizada_r2_0.405,0
721639,2.7362418968263746,Regresion_1_4,regresion_normalizada_r2_0.405,0
721647,2.8000716846939997,Regresion_1_4,regresion_normalizada_r2_0.405,0
738203,2.744391985889847,Regresion_1_4,regresion_normalizada_r2_0.405,0
