codigo_modular,Y3_PR,materias_mayor_cero
520221,3.45,1
1376318,9.68,1
410316,22.96,2
1062058,0.95,1
409706,9.719999999999999,2
410100,5.0,1
519793,0.91,1
592428,6.62,1
409672,13.495000000000001,2
410225,4.375,2
410258,0.6849999999999999,2
410266,0.88,1
204974,7.465,2
205401,3.66,1
487140,20.0,1
592543,5.449999999999999,2
600692,0.565,2
420380,20.95,2
1060276,1.96,1
420430,7.32,1
740365,19.495,2
579987,12.4,2
1320001,16.67,1
1261577,2.28,1
738427,2.875,2
1153964,13.33,1
1154400,6.0,2
1148402,10.0,1
1210491,1.03,1
1527233,5.48,2
682211,1.6099999999999999,2
350447,6.9433333333333325,3
260315,2.9166666666666665,3
350496,6.19,3
613943,6.205,2
464610,37.5,1
464628,25.0,2
355271,7.14,1
561084,4.996666666666667,3
355289,12.5,2
673780,11.11,1
840595,1.9300000000000002,2
840504,10.0,1
271379,10.946666666666667,3
271551,15.38,1
275107,7.696666666666666,3
666677,11.11,1
1343813,3.0,1
830885,12.5,1
1433515,100.0,1
1457605,8.91,1
1772672,31.71,1
428920,15.63,1
1741123,0.76,1
1781897,12.5,1
3025715,5.56,1
1768829,14.29,1
