codigo_modular,nombre_institucion,region,provincia,distrito,nivel_educativo,modalidad_especifica,area_censo,es_rural,es_fya,total_alumnos,total_docentes,numero_fya
1104801,FE Y ALEGRIA 62 SAN JOSE,DRE AMAZONAS,BAGUA,IMAZA,Secundaria,EBR,Rural,1,1,243,15.0,FA 62
1401124,FE Y ALEGRIA 62 SAN JOSE,DRE AMAZONAS,BAGUA,IMAZA,Inicial - Jardín,EBR,Rural,1,1,41,3.0,FA 62
402248,FE Y ALEGRIA 62 SAN JOSE,DRE AMAZONAS,BAGUA,IMAZA,Primaria,EBR,Rural,1,1,146,10.0,FA 62
1105329,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,DRE AMAZONAS,BAGUA,LA PECA,Inicial - Jardín,EBR,Urbana,0,1,73,4.0,FA 31
1250323,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,DRE AMAZONAS,BAGUA,LA PECA,Básica Especial-Primaria,EBE,Urbana,0,1,7,1.0,FA 31
1735729,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,DRE AMAZONAS,BAGUA,LA PECA,Básica Especial-Inicial,EBE,Urbana,0,1,2,1.0,FA 31
658427,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,DRE AMAZONAS,BAGUA,LA PECA,Secundaria,EBR,Urbana,0,1,176,21.0,FA 31
676734,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,DRE AMAZONAS,BAGUA,LA PECA,Primaria,EBR,Urbana,0,1,228,15.0,FA 31
1389972,SANTA MARIA DE NIEVA - FE Y ALEGRIA 74,DRE AMAZONAS,CONDORCANQUI,NIEVA,Instituto Superior Tecnológico,IEST,Urbana,0,1,153,21.0,FA 74
767350,FE Y ALEGRIA 38,DRE AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Secundaria,EBR,Urbana,0,1,603,40.0,FA 38
836791,FE Y ALEGRIA 38,DRE AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Primaria,EBR,Urbana,0,1,385,16.0,FA 38
411512,FE Y ALEGRIA 19,DRE ANCASH,HUARAZ,HUARAZ,Primaria,EBR,Urbana,0,1,549,24.0,FA 19
577478,FE Y ALEGRIA 19,DRE ANCASH,HUARAZ,HUARAZ,Secundaria,EBR,Urbana,0,1,579,42.0,FA 19
1315084,86548 JOSE MARIA VELAZ,DRE ANCASH,HUAYLAS,PAMPAROMAS,Secundaria,RER,Rural,1,1,145,13.0,RER FA 54
