codigo_local,nombre_institucion,region,provincia,distrito,codigos_modulares,niveles_educativos,modalidades,area_censo,es_rural,es_fya,total_alumnos,total_docentes,latitud,longitud,numero_fya,unidad_ejecutora
112446,FE Y ALEGRIA 69,DRE CAJAMARCA,CUTERVO,CUTERVO,"1366632, 1795038, 1795046, 347161, 691311","Secundaria, Básica Alternativa-Inicial e Intermedio, Básica Alternativa-Avanzado, Primaria, Inicial - Jardín","EBR, EBA",Urbana,0,1,998,62.0,-6.37278,-78.80777,FA 69,UGEL CUTERVO
121554,FE Y ALEGRIA 22 SAN LUIS GONZAGA,DRE CAJAMARCA,JAEN,JAEN,"1221498, 263053, 513465","Inicial - Jardín, Secundaria, Primaria",EBR,Urbana,0,1,1327,71.0,-5.714296,-78.8092,FA 22,UGEL JAÉN
12220,FE Y ALEGRIA 38,DRE AMAZONAS,UTCUBAMBA,BAGUA GRANDE,"767350, 836791","Secundaria, Primaria",EBR,Urbana,0,1,988,56.0,-5.758672,-78.44423,FA 38,UGEL UTCUBAMBA
124595,MARIA INMACULADA - FE Y ALEGRIA 78,DRE CAJAMARCA,JAEN,PUCARA,"224634, 262998","Primaria, Secundaria",EBR,Urbana,0,1,766,42.0,-6.042476,-79.1298,FA 78,UGEL JAÉN
136664,852,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1306182,Inicial - Jardín,RER,Rural,1,1,5,1.0,-4.203145,-73.47933,RER FA 47,UGEL MAYNAS
145140,FE Y ALEGRIA 43,DRE CALLAO,CALLAO,VENTANILLA,"1084474, 855791, 879791","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1263,64.0,-11.8223,-77.1308,FA 43,UGEL VENTANILLA
145140,FE Y ALEGRIA 43 LA SALLE,DRE CALLAO,CALLAO,VENTANILLA,1229434,Técnico Productiva,CETPRO,Urbana,0,1,178,6.0,-11.8223,-77.1308,FA 43,UGEL VENTANILLA
145244,FE Y ALEGRIA 33,DRE CALLAO,CALLAO,MI PERU,"1085646, 693374, 693382","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1630,72.0,-11.85687,-77.12114,FA 33,UGEL VENTANILLA
145381,FE Y ALEGRIA 29,DRE CALLAO,CALLAO,VENTANILLA,"601781, 664706","Primaria, Secundaria",EBR,Urbana,0,1,1129,55.0,-11.87484,-77.10704,FA 29,UGEL VENTANILLA
147827,NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21,DRE CUSCO,CUSCO,SAN JERONIMO,"1060755, 1062470, 235341, 236786","Técnico Productiva, Inicial - Jardín, Primaria, Secundaria","CETPRO, EBR",Urbana,0,1,1329,62.0,-13.54474,-71.88143,FA 21,UGEL CUSCO
147851,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,1200906,Secundaria,EBR,Urbana,0,1,268,20.0,-13.6765,-71.6756,FA 44,UGEL QUISPICANCHI
148681,FE Y ALEGRIA 20,DRE CUSCO,CUSCO,SANTIAGO,"235333, 236778","Primaria, Secundaria",EBR,Urbana,0,1,1167,63.0,-13.52713,-71.98197,FA 20,UGEL CUSCO
15676,FE Y ALEGRIA 19,DRE ANCASH,HUARAZ,HUARAZ,"411512, 577478","Primaria, Secundaria",EBR,Urbana,0,1,1128,66.0,-9.535106,-77.52096,FA 19,UGEL HUARAZ
