Estudiante,Región,Nivel,Grado,Institución Educativa,Ambito,Sexo,R Producción de textos,Año,ANALISIS,PADD-R,ID IE,ID2,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Año.1,#
1,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,"=(SUMA(H3:S3)/BDEXTRAER(claves!$A$2:$I$8,claves!$I$2,{claves!$B$2;D3}))*50",,,,,,,,,,,,,,,,,,,,,,2418.0
2,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
3,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
4,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
5,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
6,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
7,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
8,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
9,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
10,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Satisfactorio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
11,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
12,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
13,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
14,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
15,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
16,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
17,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
18,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Satisfactorio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
19,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
20,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
21,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
22,48. Piura,Primaria,4 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
23,48. Piura,Primaria,4 Primaria,20104,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
24,48. Piura,Primaria,4 Primaria,20104,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
25,48. Piura,Primaria,4 Primaria,20104,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
26,48. Piura,Primaria,4 Primaria,20104,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
27,48. Piura,Primaria,4 Primaria,20104,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
28,48. Piura,Primaria,4 Primaria,20104,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
29,48. Piura,Primaria,4 Primaria,20104,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,20104,201044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
