CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,RED_NOMBRE,LATITUD,LONGITUD,ALTITUD_MSNM,REGION,INSTITUCION_TOOLTIP
1315084,86548 JOSE MARIA VELAZ,54,Red Fe y Alegria 54,-9.2117,-77.9645,2956,Áncash,86548 JOSE MARIA VELAZ - Red 54 (Áncash)
414987,86548 JOSE MARIA VELAZ,54,Red Fe y Alegria 54,-9.2117,-77.9645,2956,Áncash,86548 JOSE MARIA VELAZ - Red 54 (Áncash)
1376268,86548 JOSE MARIA VELAZ,54,Red Fe y Alegria 54,-9.2117,-77.9645,2956,Áncash,86548 JOSE MARIA VELAZ - Red 54 (Áncash)
415059,86731,54,Red Fe y Alegria 54,-9.190619,-77.99803,2900,Áncash,86731 - Red 54 (Áncash)
1633189,86769 ABRAHAM VALDELOMAR,54,Red Fe y Alegria 54,-9.191896,-77.98308,3443,Áncash,86769 ABRAHAM VALDELOMAR - Red 54 (Áncash)
415117,86769 ABRAHAM VALDELOMAR,54,Red Fe y Alegria 54,-9.191896,-77.98308,3443,Áncash,86769 ABRAHAM VALDELOMAR - Red 54 (Áncash)
1608132,86769 ABRAHAM VALDELOMAR,54,Red Fe y Alegria 54,-9.191896,-77.98308,3443,Áncash,86769 ABRAHAM VALDELOMAR - Red 54 (Áncash)
415141,86783,54,Red Fe y Alegria 54,-9.191011,-78.0417,1597,Áncash,86783 - Red 54 (Áncash)
1376300,86783,54,Red Fe y Alegria 54,-9.191011,-78.0417,1597,Áncash,86783 - Red 54 (Áncash)
520221,86809,54,Red Fe y Alegria 54,-9.23742,-77.9687,3625,Áncash,86809 - Red 54 (Áncash)
818682,87009-01,54,Red Fe y Alegria 54,-9.199093,-78.02747,1820,Áncash,87009-01 - Red 54 (Áncash)
1551944,87009-01,54,Red Fe y Alegria 54,-9.199093,-78.02747,1820,Áncash,87009-01 - Red 54 (Áncash)
1376318,88247 SAN ENRIQUE,54,Red Fe y Alegria 54,-9.201528,-77.99841,2345,Áncash,88247 SAN ENRIQUE - Red 54 (Áncash)
541201,88247 SAN ENRIQUE,54,Red Fe y Alegria 54,-9.201528,-77.99841,2345,Áncash,88247 SAN ENRIQUE - Red 54 (Áncash)
686386,88327,54,Red Fe y Alegria 54,-9.205055,-77.97856,2777,Áncash,88327 - Red 54 (Áncash)
1306182,852,47,Red Fe y Alegria 47,-4.203145,-73.47933,98,Selva,852 - Red 47 (Selva)
409797,50504,44,Red Fe y Alegria 44,-13.64324,-71.54927,3813,Cusco,50504 - Red 44 (Cusco)
410118,50536,44,Red Fe y Alegria 44,-13.6226,-71.6391,3836,Cusco,50536 - Red 44 (Cusco)
410316,50558,44,Red Fe y Alegria 44,-13.51888,-71.44861,3532,Cusco,50558 - Red 44 (Cusco)
1062058,501344,44,Red Fe y Alegria 44,-13.5649,-71.396,3851,Cusco,501344 - Red 44 (Cusco)
409706,50495,44,Red Fe y Alegria 44,-13.5485,-71.45596,3301,Cusco,50495 - Red 44 (Cusco)
410100,50535,44,Red Fe y Alegria 44,-13.59216,-71.65474,3905,Cusco,50535 - Red 44 (Cusco)
204933,50715,44,Red Fe y Alegria 44,-13.59988,-71.45402,3609,Cusco,50715 - Red 44 (Cusco)
519793,50912,44,Red Fe y Alegria 44,-13.6172,-71.57626,3933,Cusco,50912 - Red 44 (Cusco)
592428,50976,44,Red Fe y Alegria 44,-13.5793,-71.63905,4063,Cusco,50976 - Red 44 (Cusco)
205716,50796,44,Red Fe y Alegria 44,-13.62978,-71.15881,4403,Cusco,50796 - Red 44 (Cusco)
409672,50492 CORAZON DE JESUS,44,Red Fe y Alegria 44,-13.6293,-71.3851,3545,Cusco,50492 CORAZON DE JESUS - Red 44 (Cusco)
410225,50547,44,Red Fe y Alegria 44,-13.7299,-71.3744,4058,Cusco,50547 - Red 44 (Cusco)
410233,50550,44,Red Fe y Alegria 44,-13.6302,-71.27,3950,Cusco,50550 - Red 44 (Cusco)
410258,50552 TUPAC AMARU II,44,Red Fe y Alegria 44,-13.71458,-71.46204,3990,Cusco,50552 TUPAC AMARU II - Red 44 (Cusco)
